time,bid_price,ask_price,total_volume,open_price,quote_time
2022-12-30 16:41:43.394000,128.53,128.54,28731248,128.41,42103
2022-12-30 16:41:43.938000,,,28731951,,
2022-12-30 16:41:44.480000,,,28732201,,42104
2022-12-30 16:41:45.013000,,,28732454,,
2022-12-30 16:41:45.520000,128.54,128.55,28733066,,42105
2022-12-30 16:41:46.040000,,,28735525,,
2022-12-30 16:41:46.554000,128.53,128.54,28736929,,42106
2022-12-30 16:41:47.086000,,,28737835,,
2022-12-30 16:41:47.593000,,,28738036,,
2022-12-30 16:41:48.140000,,,28739272,,42107
2022-12-30 16:41:48.657000,,,28739574,,42108
2022-12-30 16:41:49.161000,,,28739582,,42109
2022-12-30 16:41:49.693000,,,28740232,,
2022-12-30 16:41:50.198000,128.52,128.53,28741935,,42110
2022-12-30 16:41:50.705000,,,28747485,,
2022-12-30 16:41:51.216000,,,28747941,,
2022-12-30 16:41:51.718000,,,28748450,,42111
2022-12-30 16:41:52.234000,128.51,128.52,28749734,,42112
2022-12-30 16:41:52.779000,,,28749737,,
2022-12-30 16:41:53.307000,,,28750040,,
2022-12-30 16:41:53.843000,,,28750042,,42113
2022-12-30 16:41:54.350000,,,28750103,,42114
2022-12-30 16:41:54.877000,,,28751841,,
2022-12-30 16:41:55.392000,,,28752990,,
2022-12-30 16:41:55.921000,,,28753310,,42115
2022-12-30 16:41:56.458000,128.49,128.5,28757322,,42116
2022-12-30 16:41:56.977000,,,28757803,,
2022-12-30 16:41:57.520000,,,28758875,,42117
2022-12-30 16:41:58.039000,,,28758924,,
2022-12-30 16:41:58.562000,,,28758927,,
2022-12-30 16:41:59.100000,,,28758930,,42119
2022-12-30 16:41:59.647000,,,28759066,,
2022-12-30 16:42:00.173000,,,28759127,,42120
2022-12-30 16:42:00.720000,,,28759847,,
2022-12-30 16:42:01.236000,,,28762194,,
2022-12-30 16:42:01.743000,128.52,128.53,28768091,,42121
2022-12-30 16:42:02.266000,,,28768203,,42122
2022-12-30 16:42:02.775000,,,28768706,,
2022-12-30 16:42:03.309000,,,28768721,,42123
2022-12-30 16:42:04.386000,,,28769933,,42124
2022-12-30 16:42:04.898000,128.54,128.55,28771479,,
2022-12-30 16:42:05.429000,,,28771859,,42125
2022-12-30 16:42:05.940000,,,28772006,,
2022-12-30 16:42:06.462000,,,28774411,,42126
2022-12-30 16:42:06.999000,128.53,128.54,28775158,,
2022-12-30 16:42:07.501000,,,28775780,,42127
2022-12-30 16:42:08.034000,,,28775844,,
2022-12-30 16:42:08.556000,,,28775920,,
2022-12-30 16:42:09.103000,,,28775925,,42128
2022-12-30 16:42:09.612000,,128.55,28776582,,42129
2022-12-30 16:42:10.121000,,128.54,28777135,,42130
2022-12-30 16:42:10.643000,,,28777237,,
2022-12-30 16:42:11.154000,,,28777242,,42131
2022-12-30 16:42:11.658000,,,28777268,,
2022-12-30 16:42:12.219000,,,28777675,,
2022-12-30 16:42:12.745000,128.54,128.55,28778537,,42132
2022-12-30 16:42:13.278000,,,28778578,,42133
2022-12-30 16:42:13.791000,,,28778593,,
2022-12-30 16:42:14.320000,,,28778612,,
2022-12-30 16:42:14.826000,,,28778662,,42134
2022-12-30 16:42:15.355000,128.56,128.57,28778877,,42135
2022-12-30 16:42:15.871000,128.54,128.55,28780513,,
2022-12-30 16:42:16.393000,128.55,128.56,28781331,,42136
2022-12-30 16:42:16.942000,,128.57,28784889,,
2022-12-30 16:42:17.480000,128.58,128.59,28785038,,42137
2022-12-30 16:42:18.018000,,,28785220,,
2022-12-30 16:42:18.567000,128.59,128.6,28789912,,42138
2022-12-30 16:42:19.077000,128.62,128.63,28792851,,
2022-12-30 16:42:19.603000,,,28793651,,42139
2022-12-30 16:42:20.138000,,,28794085,,42140
2022-12-30 16:42:20.640000,,,28794240,,
2022-12-30 16:42:21.143000,,,28794301,,42141
2022-12-30 16:42:21.659000,128.63,128.64,28796749,,
2022-12-30 16:42:22.174000,,,28799412,,42142
2022-12-30 16:42:22.690000,,,28801430,,
2022-12-30 16:42:23.212000,,,28801521,,42143
2022-12-30 16:42:23.730000,,,28802464,,
2022-12-30 16:42:24.250000,,,28802881,,42144
2022-12-30 16:42:24.754000,,,28803183,,
2022-12-30 16:42:25.270000,128.62,128.63,28806711,,42145
2022-12-30 16:42:25.789000,,,28807447,,
2022-12-30 16:42:26.298000,,,28808305,,
2022-12-30 16:42:26.836000,,,28808540,,42146
2022-12-30 16:42:27.348000,,,28808541,,42147
2022-12-30 16:42:27.885000,,,28809169,,
2022-12-30 16:42:28.419000,,,28809672,,42148
2022-12-30 16:42:28.946000,,,28810275,,
2022-12-30 16:42:29.459000,,,28810878,,
2022-12-30 16:42:29.984000,,,28811142,,
2022-12-30 16:42:30.524000,128.63,128.64,28814219,,42150
2022-12-30 16:42:31.035000,,128.65,28816049,,
2022-12-30 16:42:31.560000,,,28816527,,
2022-12-30 16:42:32.083000,,,28816549,,42151
2022-12-30 16:42:32.628000,128.62,128.63,28816798,,42152
2022-12-30 16:42:33.146000,128.61,128.62,28818226,,42153
2022-12-30 16:42:33.692000,,,28818729,,
2022-12-30 16:42:34.193000,,,28818731,,42154
2022-12-30 16:42:34.706000,,,28819233,,
2022-12-30 16:42:35.221000,,,28819957,,
2022-12-30 16:42:35.739000,128.62,128.63,28824054,,42155
2022-12-30 16:42:36.276000,,,28825073,,42156
2022-12-30 16:42:36.795000,128.61,,28830106,,
2022-12-30 16:42:37.328000,,128.62,28830334,,42157
2022-12-30 16:42:37.864000,,,28830435,,
2022-12-30 16:42:38.401000,128.62,128.63,28830550,,42158
2022-12-30 16:42:39.438000,128.61,,28830559,,42159
2022-12-30 16:42:40.193000,128.62,,28830669,,
2022-12-30 16:42:40.699000,128.61,,28833383,,42160
2022-12-30 16:42:41.219000,,,28835434,,42161
2022-12-30 16:42:41.765000,128.63,128.64,28838698,,
2022-12-30 16:42:42.312000,,128.65,,,42162
2022-12-30 16:42:42.819000,,,28838699,,
2022-12-30 16:42:43.330000,,,28838851,,
2022-12-30 16:42:43.879000,,128.64,28839424,,42163
2022-12-30 16:42:44.406000,,,28839525,,42164
2022-12-30 16:42:44.909000,,,28839836,,
2022-12-30 16:42:45.438000,,,28839902,,42165
2022-12-30 16:42:45.978000,,,28839966,,
2022-12-30 16:42:46.502000,,,28840025,,42166
2022-12-30 16:42:47.020000,128.62,128.63,28841646,,
2022-12-30 16:42:47.541000,128.61,128.62,28842571,,42167
2022-12-30 16:42:48.082000,,,28844148,,
2022-12-30 16:42:48.596000,,,,,42168
2022-12-30 16:42:49.127000,,,28847825,,42169
2022-12-30 16:42:49.654000,,,28848126,,
2022-12-30 16:42:50.157000,128.6,128.61,28851530,,42170
2022-12-30 16:42:50.704000,,,28851660,,
2022-12-30 16:42:51.229000,,,28851664,,
2022-12-30 16:42:51.742000,,,28851676,,42171
2022-12-30 16:42:52.269000,,,28851926,,
2022-12-30 16:42:52.775000,,,,,42172
2022-12-30 16:42:53.829000,,,28851977,,42173
2022-12-30 16:42:54.330000,,,28853270,,
2022-12-30 16:42:54.864000,128.59,128.6,28855079,,42174
2022-12-30 16:42:55.396000,,,28855130,,42175
2022-12-30 16:42:55.938000,,,28855135,,
2022-12-30 16:42:56.443000,,,28855136,,42176
2022-12-30 16:42:56.979000,,,28855242,,
2022-12-30 16:42:57.493000,128.6,128.62,28856502,,42177
2022-12-30 16:42:57.997000,,128.61,28861630,,
2022-12-30 16:42:58.510000,,,28861850,,42178
2022-12-30 16:42:59.056000,128.59,128.6,28863094,,
2022-12-30 16:42:59.604000,,,28863102,,42179
2022-12-30 16:43:00.148000,128.57,128.58,28864694,,42180
2022-12-30 16:43:00.663000,,,28864697,,
2022-12-30 16:43:01.178000,,,28864873,,42181
2022-12-30 16:43:01.684000,,,28864886,,
2022-12-30 16:43:02.207000,,,28865668,,42182
2022-12-30 16:43:02.753000,,,28865889,,
