time, bid_price, ask_price, total_volume, open_price, quote_time
2022-12-28 18:52:53.562000,126.98,126.99,55347339,129.67,49973
2022-12-28 18:52:54.068000,126.97,126.98,55348272,,
2022-12-28 18:52:54.591000,,,55348597,,49974
2022-12-28 18:52:55.114000,,,55348825,,
2022-12-28 18:52:55.651000,126.95,126.96,55351606,,49975
2022-12-28 18:52:56.172000,,,55352927,,
2022-12-28 18:52:56.681000,126.91,126.92,55357703,,49976
2022-12-28 18:52:57.186000,,,55360105,,
2022-12-28 18:52:57.712000,,,55360556,,49977
2022-12-28 18:52:58.244000,126.89,126.9,55363361,,49978
2022-12-28 18:52:58.763000,,,55363896,,
2022-12-28 18:52:59.291000,,,55366576,,49979
2022-12-28 18:52:59.831000,,,55367905,,
2022-12-28 18:53:00.346000,126.9,126.91,55368386,,49980
2022-12-28 18:53:00.890000,126.89,,55369790,,
2022-12-28 18:53:01.408000,126.9,,55370292,,
2022-12-28 18:53:01.942000,126.89,126.9,55370356,,49981
2022-12-28 18:53:02.461000,126.88,126.89,55373174,,49982
2022-12-28 18:53:02.987000,,,55373488,,
2022-12-28 18:53:03.514000,126.91,126.92,55374378,,49983
2022-12-28 18:53:04.059000,126.93,126.94,55375564,,
2022-12-28 18:53:04.597000,126.94,126.95,55378717,,49984
2022-12-28 18:53:05.099000,,,55378731,,
2022-12-28 18:53:05.637000,,,55378875,,49985
2022-12-28 18:53:06.151000,126.95,126.96,55379424,,
2022-12-28 18:53:06.693000,,,55379566,,49986
2022-12-28 18:53:07.201000,126.94,,55380311,,49987
2022-12-28 18:53:07.716000,,,55380712,,
2022-12-28 18:53:08.230000,,,55382359,,
2022-12-28 18:53:08.751000,,,55382589,,49988
2022-12-28 18:53:09.277000,,126.95,55382893,,
2022-12-28 18:53:09.805000,126.93,126.94,55383857,,49989
2022-12-28 18:53:10.322000,126.91,126.92,55384150,,49990
2022-12-28 18:53:10.825000,,126.93,55384419,,
2022-12-28 18:53:11.354000,126.92,,55384975,,49991
2022-12-28 18:53:11.874000,126.91,126.92,55385271,,
2022-12-28 18:53:12.415000,126.92,126.93,55387758,,49992
2022-12-28 18:53:12.934000,,,55387966,,
2022-12-28 18:53:13.472000,,126.94,55388248,,49993
2022-12-28 18:53:13.976000,126.93,,55388255,,
2022-12-28 18:53:14.513000,,,55388819,,49994
2022-12-28 18:53:15.032000,,126.95,55388889,,
2022-12-28 18:53:15.568000,,126.94,55389872,,49995
2022-12-28 18:53:16.108000,,,55390635,,
2022-12-28 18:53:16.643000,,,55390639,,49996
2022-12-28 18:53:17.162000,,,55390983,,
2022-12-28 18:53:17.682000,,,55391590,,49997
2022-12-28 18:53:18.238000,,,55391603,,
2022-12-28 18:53:18.773000,,,55394258,,49998
2022-12-28 18:53:19.275000,126.95,126.97,55395202,,49999
2022-12-28 18:53:19.818000,126.97,126.99,55395353,,
2022-12-28 18:53:20.365000,126.98,,55395547,,50000
2022-12-28 18:53:20.885000,,,55395716,,
2022-12-28 18:53:21.424000,,,55396792,,50001
2022-12-28 18:53:21.967000,,,55397634,,
2022-12-28 18:53:22.481000,,,55401687,,
2022-12-28 18:53:22.991000,,,55402753,,50002
2022-12-28 18:53:23.521000,,,55402829,,50003
2022-12-28 18:53:24.026000,,,55403470,,
2022-12-28 18:53:24.537000,126.99,127,55405365,,50004
2022-12-28 18:53:25.082000,126.98,126.99,55405762,,
2022-12-28 18:53:25.622000,,,55406989,,50005
2022-12-28 18:53:26.149000,,127,55407455,,
2022-12-28 18:53:26.655000,,,55409237,,50006
2022-12-28 18:53:27.184000,,,55411317,,
2022-12-28 18:53:27.715000,127,127.01,55415001,,50007
2022-12-28 18:53:28.228000,,,55415038,,
2022-12-28 18:53:28.757000,126.98,127,55416708,,50008
2022-12-28 18:53:29.298000,,,55417494,,50009
2022-12-28 18:53:29.835000,126.99,,55417625,,
2022-12-28 18:53:30.362000,126.98,126.99,55417838,,50010
2022-12-28 18:53:30.889000,,127,55417855,,
2022-12-28 18:53:31.398000,126.99,,55418177,,50011
2022-12-28 18:53:31.901000,,,55418430,,
2022-12-28 18:53:32.406000,126.98,126.99,55418459,,50012
2022-12-28 18:53:32.908000,,,55418767,,
2022-12-28 18:53:33.436000,,,55419468,,50013
2022-12-28 18:53:33.973000,,,55421175,,
2022-12-28 18:53:34.489000,,,55421526,,50014
2022-12-28 18:53:35,,,55422185,,
2022-12-28 18:53:35.525000,,127,55422435,,50015
2022-12-28 18:53:36.068000,,126.99,55425514,,
2022-12-28 18:53:36.573000,,,55426490,,50016
2022-12-28 18:53:37.098000,,,55426553,,
2022-12-28 18:53:37.629000,,,55427341,,50017
2022-12-28 18:53:38.132000,,,55429340,,
2022-12-28 18:53:38.638000,,,55430084,,50018
2022-12-28 18:53:39.144000,,,55430286,,
2022-12-28 18:53:39.667000,,,55430350,,50019
2022-12-28 18:53:40.175000,126.99,127,55432340,,50020
2022-12-28 18:53:40.714000,,127.01,55432847,,
2022-12-28 18:53:41.249000,127,,55434226,,
2022-12-28 18:53:41.785000,126.99,127,55438796,,50021
2022-12-28 18:53:42.327000,126.98,126.99,55441008,,50022
2022-12-28 18:53:42.845000,,,55441825,,
2022-12-28 18:53:43.374000,,,55441853,,
2022-12-28 18:53:43.888000,126.97,,55443503,,50023
2022-12-28 18:53:44.402000,,,,,50024
2022-12-28 18:53:44.950000,126.98,,55443957,,
2022-12-28 18:53:45.452000,,,55443961,,50025
2022-12-28 18:53:45.982000,,,55443967,,
2022-12-28 18:53:46.485000,,,55444019,,50026
2022-12-28 18:53:47.030000,,,55444031,,
2022-12-28 18:53:47.537000,,127,55444943,,50027
2022-12-28 18:53:48.044000,126.99,,55445962,,50028
2022-12-28 18:53:48.548000,,,55446393,,
2022-12-28 18:53:49.096000,,,55446413,,
2022-12-28 18:53:49.619000,,,55446459,,50029
2022-12-28 18:53:50.154000,,,55446479,,
2022-12-28 18:53:50.685000,,,55447633,,50030
2022-12-28 18:53:51.186000,,,55447743,,50031
2022-12-28 18:53:51.713000,,,55447759,,
2022-12-28 18:53:52.255000,,,55447845,,
2022-12-28 18:53:52.785000,,127.01,55449539,,50032
2022-12-28 18:53:53.311000,,127,55449840,,50033
2022-12-28 18:53:53.815000,126.98,126.99,55452173,,
2022-12-28 18:53:54.355000,126.99,127,55452728,,50034
2022-12-28 18:53:54.894000,126.98,126.99,55453119,,
2022-12-28 18:53:55.410000,,,55453176,,50035
2022-12-28 18:53:55.950000,127,127.02,55453715,,
2022-12-28 18:53:56.486000,127.01,,55454277,,50036
2022-12-28 18:53:57.003000,127.02,127.03,55454859,,
2022-12-28 18:53:57.548000,127.04,127.05,55457849,,50037
2022-12-28 18:53:58.078000,,,55458449,,50038
