time,bid_price,ask_price,total_volume,open_price,quote_time
2022-12-30 16:41:43.394000,118.69,118.7,7278330,118.16,42103
2022-12-30 16:41:43.938000,,,7278930,,
2022-12-30 16:41:44.480000,,,7278947,,42104
2022-12-30 16:41:45.520000,,,7279122,,42105
2022-12-30 16:41:46.040000,,,7279366,,
2022-12-30 16:41:46.554000,,,7279369,,42106
2022-12-30 16:41:47.086000,,,7279470,,
2022-12-30 16:41:47.593000,,,7279471,,
2022-12-30 16:41:48.140000,,,,,42108
2022-12-30 16:41:48.657000,,,7279571,,
2022-12-30 16:41:49.161000,,,,,42109
2022-12-30 16:41:49.693000,,,7279572,,
2022-12-30 16:41:50.198000,,,,,42110
2022-12-30 16:41:50.705000,,,7279723,,
2022-12-30 16:41:51.718000,,,7279724,,
2022-12-30 16:41:52.234000,,,,,42111
2022-12-30 16:41:52.779000,,,7279824,,42112
2022-12-30 16:41:53.307000,118.68,118.69,7279864,,
2022-12-30 16:41:53.843000,,,7279974,,42113
2022-12-30 16:41:54.350000,,,7279994,,
2022-12-30 16:41:54.877000,,,7280145,,
2022-12-30 16:41:55.392000,,,7280335,,
2022-12-30 16:41:55.921000,118.66,118.67,7282493,,42115
2022-12-30 16:41:56.458000,,,7282593,,
2022-12-30 16:41:56.977000,,,7282598,,42116
2022-12-30 16:41:57.520000,,,,,42117
2022-12-30 16:41:58.039000,,,7282698,,
2022-12-30 16:41:58.562000,,,,,42118
2022-12-30 16:41:59.100000,,,7282804,,
2022-12-30 16:41:59.647000,,,7282818,,42119
2022-12-30 16:42:00.173000,,,7282989,,
2022-12-30 16:42:00.720000,,,7283190,,
2022-12-30 16:42:01.236000,,,,,42120
2022-12-30 16:42:01.743000,118.68,118.7,7284554,,42121
2022-12-30 16:42:02.266000,,,,,42122
2022-12-30 16:42:02.775000,,,7284704,,
2022-12-30 16:42:03.309000,,,7284706,,
2022-12-30 16:42:03.839000,,,7284722,,
2022-12-30 16:42:04.386000,,118.69,7284867,,42124
2022-12-30 16:42:04.898000,118.69,118.7,7285104,,
2022-12-30 16:42:05.429000,,,,,42125
2022-12-30 16:42:05.940000,118.66,118.67,7285882,,
2022-12-30 16:42:06.462000,118.67,118.68,7286120,,42126
2022-12-30 16:42:06.999000,118.66,,7286123,,
2022-12-30 16:42:07.501000,,,7287130,,42127
2022-12-30 16:42:08.034000,,118.67,7287153,,
2022-12-30 16:42:08.556000,,,7287389,,
2022-12-30 16:42:09.103000,,,7287429,,
2022-12-30 16:42:09.612000,,,7287533,,42128
2022-12-30 16:42:10.121000,,,7287707,,42129
2022-12-30 16:42:10.643000,,,7287728,,42130
2022-12-30 16:42:11.154000,,,7287730,,
2022-12-30 16:42:12.219000,,,7287880,,
2022-12-30 16:42:12.745000,118.69,118.71,7288607,,42132
2022-12-30 16:42:13.278000,118.7,118.72,7288709,,
2022-12-30 16:42:13.791000,118.69,118.7,7288914,,42133
2022-12-30 16:42:14.320000,,,7288929,,
2022-12-30 16:42:14.826000,118.68,,,,42134
2022-12-30 16:42:15.355000,,,7288934,,
2022-12-30 16:42:15.871000,118.69,,7289512,,42135
2022-12-30 16:42:16.393000,,,7289513,,
2022-12-30 16:42:16.942000,118.68,,7290695,,42136
2022-12-30 16:42:17.480000,118.69,,7290845,,42137
2022-12-30 16:42:18.018000,118.71,118.73,7291350,,
2022-12-30 16:42:18.567000,118.73,118.74,7291366,,42138
2022-12-30 16:42:19.077000,118.74,118.75,7291575,,
2022-12-30 16:42:19.603000,,,7291576,,42139
2022-12-30 16:42:20.138000,,,7291891,,42140
2022-12-30 16:42:20.640000,118.75,118.77,7293600,,
2022-12-30 16:42:21.143000,118.74,118.76,7293616,,42141
2022-12-30 16:42:22.174000,118.75,118.77,7293742,,42142
2022-12-30 16:42:22.690000,,,7293951,,
2022-12-30 16:42:23.212000,,,7293952,,
2022-12-30 16:42:23.730000,,,7293990,,42143
2022-12-30 16:42:24.250000,,,7294105,,
2022-12-30 16:42:25.270000,118.74,118.75,7295368,,42145
2022-12-30 16:42:25.789000,,118.76,7295469,,
2022-12-30 16:42:26.298000,,118.75,7295552,,
2022-12-30 16:42:26.836000,,,7295665,,42146
2022-12-30 16:42:27.348000,,,7296248,,42147
2022-12-30 16:42:27.885000,,118.76,7296298,,
2022-12-30 16:42:28.419000,,,7296323,,
2022-12-30 16:42:28.946000,,118.75,,,42148
2022-12-30 16:42:29.459000,,118.76,7296504,,42149
2022-12-30 16:42:29.984000,,118.77,7296571,,
2022-12-30 16:42:30.524000,118.76,,7296684,,42150
2022-12-30 16:42:31.035000,,,7296692,,
2022-12-30 16:42:31.560000,,,7296742,,
2022-12-30 16:42:32.083000,,,,,42151
2022-12-30 16:42:32.628000,,,7296748,,42152
2022-12-30 16:42:33.146000,118.74,118.75,7296901,,42153
2022-12-30 16:42:33.692000,,,7296953,,
2022-12-30 16:42:34.706000,,,7296979,,
2022-12-30 16:42:35.221000,,,7297029,,42154
2022-12-30 16:42:35.739000,,,7297262,,
2022-12-30 16:42:36.276000,118.75,118.77,7297541,,42155
2022-12-30 16:42:36.795000,,,7297542,,
2022-12-30 16:42:38.401000,,,7298382,,42158
2022-12-30 16:42:38.917000,,,7298383,,
2022-12-30 16:42:39.438000,,,7298412,,
2022-12-30 16:42:40.193000,,,7298415,,
2022-12-30 16:42:40.699000,,,7298416,,
2022-12-30 16:42:41.765000,,,,,42161
2022-12-30 16:42:42.312000,,,7298517,,
2022-12-30 16:42:43.330000,,,7298549,,42162
2022-12-30 16:42:43.879000,,,7298650,,
2022-12-30 16:42:44.406000,118.74,118.75,7299896,,42163
2022-12-30 16:42:45.978000,,,7300396,,42165
2022-12-30 16:42:46.502000,118.72,118.74,7302076,,42166
2022-12-30 16:42:47.020000,,,7302237,,
2022-12-30 16:42:47.541000,118.71,118.72,7302370,,42167
2022-12-30 16:42:48.082000,,,7302381,,
2022-12-30 16:42:48.596000,118.72,118.74,7302993,,42168
2022-12-30 16:42:49.654000,,,,,42169
2022-12-30 16:42:50.157000,,,7303289,,42170
2022-12-30 16:42:51.229000,,,7303308,,
2022-12-30 16:42:51.742000,,118.73,,,42171
2022-12-30 16:42:52.269000,,,7303358,,
2022-12-30 16:42:52.775000,118.71,118.72,7303464,,42172
2022-12-30 16:42:53.302000,,,7303474,,
2022-12-30 16:42:53.829000,,118.73,,,42173
2022-12-30 16:42:54.864000,118.7,118.72,7305113,,42174
2022-12-30 16:42:55.396000,,,7305115,,
2022-12-30 16:42:55.938000,,,,,42175
2022-12-30 16:42:56.443000,118.71,118.73,7305313,,42176
2022-12-30 16:42:57.493000,118.73,118.74,7305498,,42177
2022-12-30 16:42:58.510000,118.72,,7305502,,42178
2022-12-30 16:42:59.056000,,118.73,7305503,,
2022-12-30 16:42:59.604000,118.7,118.72,7306010,,42179
2022-12-30 16:43:00.148000,118.68,118.7,7306870,,42180
2022-12-30 16:43:00.663000,118.67,118.69,7306924,,
2022-12-30 16:43:01.178000,,,7307003,,
2022-12-30 16:43:01.684000,,,,,42181
2022-12-30 16:43:03.301000,,,7307011,,42182
2022-12-30 16:43:03.812000,,,,,42183
2022-12-30 16:43:05.395000,,118.68,7307148,,42185
2022-12-30 16:43:05.940000,,,7307227,,
2022-12-30 16:43:06.481000,,118.7,7308115,,42186
2022-12-30 16:43:07.020000,118.68,,7308116,,
2022-12-30 16:43:07.565000,118.67,118.69,7308139,,42187
2022-12-30 16:43:08.615000,,,,,42188
2022-12-30 16:43:09.142000,118.68,,7308141,,42189
2022-12-30 16:43:10.706000,,,7308174,,42190
2022-12-30 16:43:11.230000,118.67,,7308374,,
2022-12-30 16:43:12.287000,,,,,42191
2022-12-30 16:43:12.807000,,118.68,,,42192
2022-12-30 16:43:13.875000,118.66,118.67,7308584,,42193
2022-12-30 16:43:14.390000,118.65,,7308752,,
2022-12-30 16:43:14.900000,,118.66,7308763,,42194
2022-12-30 16:43:15.437000,,,,,42195
2022-12-30 16:43:15.951000,,,7308780,,
2022-12-30 16:43:16.463000,,,,,42196
2022-12-30 16:43:16.977000,,,7308905,,
2022-12-30 16:43:18.554000,,,7308955,,
2022-12-30 16:43:19.636000,,,7309014,,
2022-12-30 16:43:20.166000,,,7310014,,
2022-12-30 16:43:20.676000,,,,,42200
2022-12-30 16:43:21.212000,118.62,118.63,7314944,,42201
2022-12-30 16:43:21.729000,,,7315155,,
2022-12-30 16:43:22.808000,,,7315296,,42202
2022-12-30 16:43:23.310000,,118.64,7315989,,42203
