time, bid_price, ask_price, total_volume, open_price, quote_time
2022-12-28 18:52:53.562000,116.13,116.14,11988098,116.25,49972
2022-12-28 18:52:54.068000,116.12,116.13,11988449,,49973
2022-12-28 18:52:54.591000,116.11,,11988568,,49974
2022-12-28 18:52:55.114000,,,11988868,,
2022-12-28 18:52:55.651000,,,11988929,,49975
2022-12-28 18:52:56.172000,116.09,116.1,11989995,,49976
2022-12-28 18:52:56.681000,,116.11,11990194,,
2022-12-28 18:52:57.186000,,,11990551,,49977
2022-12-28 18:52:57.712000,,,11990569,,
2022-12-28 18:52:58.244000,116.08,116.09,11990943,,49978
2022-12-28 18:52:58.763000,,,11991143,,
2022-12-28 18:52:59.291000,,,11991145,,
2022-12-28 18:52:59.831000,,,11991146,,
2022-12-28 18:53:00.346000,,116.1,11991546,,49980
2022-12-28 18:53:00.890000,,,11991556,,
2022-12-28 18:53:01.408000,,,11991854,,49981
2022-12-28 18:53:01.942000,,,11991954,,
2022-12-28 18:53:02.461000,116.06,116.07,11993061,,49982
2022-12-28 18:53:02.987000,,116.08,,,
2022-12-28 18:53:03.514000,116.08,116.1,11993193,,49983
2022-12-28 18:53:04.059000,,,11993267,,
2022-12-28 18:53:04.597000,116.1,116.12,11994347,,49984
2022-12-28 18:53:05.099000,,,11994366,,
2022-12-28 18:53:05.637000,,116.11,11994471,,49985
2022-12-28 18:53:06.151000,116.11,116.12,11994556,,49986
2022-12-28 18:53:06.693000,,,11994763,,
2022-12-28 18:53:07.201000,,,11995015,,
2022-12-28 18:53:07.716000,,,,,49987
2022-12-28 18:53:08.751000,,,11995016,,
2022-12-28 18:53:09.277000,,,11995022,,
2022-12-28 18:53:09.805000,116.09,116.1,11995322,,49989
2022-12-28 18:53:10.322000,116.08,,,,
2022-12-28 18:53:10.825000,116.07,116.09,11995333,,49990
2022-12-28 18:53:11.354000,116.08,116.1,11995533,,49991
2022-12-28 18:53:11.874000,,,11995720,,
2022-12-28 18:53:12.415000,,,11995723,,49992
2022-12-28 18:53:12.934000,,,11995734,,
2022-12-28 18:53:13.976000,,,11995757,,49993
2022-12-28 18:53:14.513000,116.1,116.12,11996216,,49994
2022-12-28 18:53:15.032000,,,11996217,,
2022-12-28 18:53:15.568000,,,11996317,,
2022-12-28 18:53:16.108000,116.09,,,,49995
2022-12-28 18:53:16.643000,,,11996319,,49996
2022-12-28 18:53:17.682000,,,11996392,,
2022-12-28 18:53:18.238000,,,11996395,,
2022-12-28 18:53:18.773000,,,11996446,,49998
2022-12-28 18:53:19.275000,116.1,,11996447,,49999
2022-12-28 18:53:19.818000,116.11,116.13,11996881,,
2022-12-28 18:53:20.365000,116.12,,11997042,,50000
2022-12-28 18:53:20.885000,,,11997084,,
2022-12-28 18:53:21.424000,116.11,,11997328,,50001
2022-12-28 18:53:23.521000,,,11998328,,
2022-12-28 18:53:24.026000,116.12,,,,50003
2022-12-28 18:53:24.537000,,,,,50004
2022-12-28 18:53:25.082000,,116.14,11998897,,
2022-12-28 18:53:25.622000,,,11999224,,50005
2022-12-28 18:53:26.149000,,,11999243,,
2022-12-28 18:53:26.655000,,,11999253,,50006
2022-12-28 18:53:27.184000,,,11999254,,
2022-12-28 18:53:27.715000,116.13,116.15,11999497,,50007
2022-12-28 18:53:28.228000,116.14,,11999548,,50008
2022-12-28 18:53:28.757000,,,11999549,,
2022-12-28 18:53:29.298000,,,11999591,,
2022-12-28 18:53:30.362000,,,11999617,,50009
2022-12-28 18:53:30.889000,,,12000827,,
2022-12-28 18:53:31.901000,,,12000927,,
2022-12-28 18:53:32.406000,116.13,,12001782,,50012
2022-12-28 18:53:32.908000,,116.14,12001790,,
2022-12-28 18:53:33.436000,116.14,116.15,12002222,,50013
2022-12-28 18:53:33.973000,,,12002224,,
2022-12-28 18:53:34.489000,,,,,50014
2022-12-28 18:53:35,,,12002228,,
2022-12-28 18:53:35.525000,116.15,116.17,12003774,,50015
2022-12-28 18:53:36.068000,,,12003778,,
2022-12-28 18:53:36.573000,,,12003779,,
2022-12-28 18:53:37.098000,,,12003796,,
2022-12-28 18:53:37.629000,,,12003797,,50017
2022-12-28 18:53:38.638000,,,12003867,,50018
2022-12-28 18:53:39.144000,,,,,50019
2022-12-28 18:53:40.175000,116.17,116.18,12004324,,
2022-12-28 18:53:40.714000,,,12004515,,
2022-12-28 18:53:41.249000,,,,,50020
2022-12-28 18:53:42.327000,,,12004565,,
2022-12-28 18:53:42.845000,116.16,,12004981,,50022
2022-12-28 18:53:43.374000,,,12004982,,
2022-12-28 18:53:43.888000,,116.17,12005098,,50023
2022-12-28 18:53:44.402000,,,12005129,,50024
2022-12-28 18:53:44.950000,116.17,116.18,12005156,,
2022-12-28 18:53:45.452000,,,,,50025
2022-12-28 18:53:45.982000,,,12005283,,
2022-12-28 18:53:47.030000,,,12005339,,50026
2022-12-28 18:53:47.537000,,,12005340,,50027
2022-12-28 18:53:48.044000,,,12007346,,
2022-12-28 18:53:48.548000,116.18,116.19,12007652,,50028
2022-12-28 18:53:49.096000,,,12007653,,
